Assay,AD-S_1pg_vs_Ctrl-S_1pg,AD-S_5pg_vs_Ctrl-S_5pg,AD-S_10pg_vs_Ctrl-S_10pg,AD_20pg_vs_Ctrl-S_20pg,AD-S_40pg_vs_Ctrl-S_40pg,n_comparisons
OID50220,True,False,True,True,True,4
OID50221,False,False,False,False,False,0
OID50222,True,False,True,True,True,4
OID50223,True,False,False,False,False,1
OID50224,False,False,False,False,True,1
OID50225,True,True,True,True,False,4
OID50226,False,False,True,False,False,1
OID50227,False,False,False,False,False,0
OID50228,False,False,False,False,False,0
OID50229,False,True,False,True,True,3
OID50230,True,False,True,False,True,3
OID50231,True,False,False,True,False,2
OID50232,False,False,False,True,False,1
OID50233,False,False,False,False,False,0
OID50234,True,False,True,False,False,2
OID50235,False,False,False,False,False,0
OID50236,False,True,True,True,True,4
OID50237,True,True,True,False,False,3
OID50238,False,False,False,False,False,0
OID50239,True,False,True,True,False,3
OID50240,False,False,False,False,False,0
OID50241,False,False,False,False,False,0
OID50242,False,True,True,True,True,4
OID50243,True,True,True,False,True,4
OID50244,True,True,True,True,True,5
OID50245,True,True,True,True,True,5
OID50246,False,False,False,False,True,1
OID50247,False,False,False,False,False,0
OID50248,False,False,True,False,False,1
OID50249,False,False,False,False,False,0
OID50250,True,False,True,False,True,3
OID50251,True,True,True,True,False,4
OID50252,False,False,False,False,True,1
OID50253,False,False,False,False,False,0
OID50254,False,True,True,True,True,4
OID50255,False,False,False,False,False,0
OID50256,True,False,True,True,True,4
OID50257,False,False,False,False,True,1
OID50258,True,True,True,False,False,3
OID50260,True,True,False,True,True,4
OID50261,False,True,True,True,False,3
OID50262,False,False,False,False,False,0
OID50263,False,False,False,True,False,1
OID50264,False,False,False,False,False,0
OID50265,False,False,False,False,False,0
OID50266,True,True,False,False,False,2
OID50267,True,True,True,True,True,5
OID50269,False,False,False,False,False,0
OID50270,False,True,False,False,False,1
OID50271,False,True,True,True,True,4
OID50272,False,False,False,True,False,1
OID50273,False,False,False,False,False,0
OID50274,True,False,False,True,False,2
OID50275,True,False,False,True,True,3
OID50276,True,True,True,True,True,5
OID50277,False,False,False,False,True,1
OID50278,False,False,True,True,True,3
OID50279,False,False,False,True,False,1
OID50280,False,False,False,False,False,0
OID50281,False,False,False,False,False,0
OID50282,False,False,False,False,False,0
OID50283,False,False,False,False,True,1
OID50284,False,False,True,False,True,2
OID50285,True,False,False,False,False,1
OID50286,False,False,False,False,False,0
OID50287,False,False,False,True,True,2
OID50288,False,True,False,False,False,1
OID50289,False,False,True,False,False,1
OID50290,False,False,False,True,False,1
OID50291,True,True,True,True,True,5
OID50292,False,False,False,False,False,0
OID50293,False,False,False,False,False,0
OID50294,False,True,True,True,True,4
OID50295,False,False,False,False,True,1
OID50296,True,False,True,True,True,4
OID50297,False,False,True,True,True,3
OID50299,False,False,False,False,True,1
OID50300,False,False,True,True,True,3
OID50301,False,True,False,True,False,2
OID50302,True,False,True,True,True,4
OID50303,False,False,True,True,False,2
OID50304,False,False,True,False,False,1
OID50305,False,False,False,False,False,0
OID50306,False,False,False,True,True,2
OID50307,False,False,True,True,False,2
OID50308,False,False,False,False,False,0
OID50310,True,False,False,False,False,1
OID50311,False,False,True,False,False,1
OID50313,True,True,True,True,True,5
OID50314,True,True,True,True,True,5
OID50315,False,True,True,True,True,4
OID50316,False,False,False,False,False,0
OID50317,False,False,False,False,False,0
OID50318,False,False,False,False,False,0
OID50319,True,False,True,False,True,3
OID50320,False,False,False,False,False,0
OID50321,False,False,True,False,False,1
OID50322,True,False,False,True,True,3
OID50323,True,False,False,False,False,1
OID50324,True,True,False,True,True,4
OID50325,False,False,False,True,False,1
OID50326,True,False,False,False,True,2
OID50327,True,False,False,False,False,1
OID50328,False,False,False,False,False,0
OID50329,False,False,True,False,False,1
OID50330,True,False,False,False,False,1
OID50331,False,True,False,False,True,2
OID50332,False,False,False,False,False,0
OID50333,True,True,True,False,False,3
OID50334,False,True,True,True,True,4
OID50335,False,False,False,False,False,0
OID50336,False,False,False,False,False,0
OID50337,False,True,True,True,True,4
OID50338,False,True,True,False,False,2
OID50339,False,True,False,True,False,2
OID50340,False,False,False,False,False,0
OID50341,False,False,False,False,False,0
OID50342,False,False,False,False,False,0
OID50343,False,True,False,True,True,3
OID50344,False,False,True,False,False,1
OID50345,False,False,False,False,False,0
OID50346,True,True,False,True,True,4
OID50347,True,False,False,True,True,3
OID50348,True,True,True,False,True,4
OID50349,False,True,False,True,True,3
OID50350,False,False,False,False,True,1
OID50351,False,False,False,False,False,0
OID50352,False,False,False,False,False,0
OID50353,False,False,True,True,False,2
OID50355,True,False,False,False,True,2
OID50356,True,True,True,True,True,5
OID50357,False,True,True,True,False,3
OID50358,False,True,True,True,False,3
OID50359,False,True,True,True,True,4
OID50360,True,True,True,True,True,5
OID50361,False,False,False,False,False,0
OID50362,False,False,False,False,True,1
OID50363,False,False,False,False,False,0
OID50364,False,False,True,False,True,2
OID50365,False,True,True,False,True,3
OID50366,False,False,False,True,True,2
OID50367,True,False,False,True,True,3
OID50368,True,False,False,True,True,3
OID50369,True,True,False,True,True,4
OID50370,True,False,True,False,True,3
OID50371,True,False,False,False,False,1
OID50372,True,True,False,False,True,3
OID50373,True,False,False,True,True,3
OID50374,False,False,False,False,False,0
OID50375,False,False,False,False,False,0
OID50376,False,False,False,False,False,0
OID50377,False,False,False,False,False,0
OID50378,False,False,True,False,False,1
OID50379,True,False,True,False,True,3
OID50380,False,True,False,True,True,3
OID50382,False,False,False,False,False,0
OID50383,False,False,False,False,False,0
OID50384,True,True,False,True,True,4
OID50385,False,True,True,True,True,4
OID50386,False,False,False,False,False,0
OID50387,True,True,False,True,True,4
OID50388,False,False,False,False,False,0
OID50390,False,True,True,True,False,3
OID50391,True,False,True,True,True,4
OID50392,True,True,False,True,True,4
OID50393,False,False,False,False,False,0
OID50394,False,False,False,False,False,0
OID50395,False,False,False,False,False,0
OID50396,False,False,False,False,False,0
OID50397,False,False,False,False,False,0
OID50398,False,False,False,False,False,0
OID50399,True,True,True,True,True,5
OID50400,True,True,True,True,True,5
OID50401,True,False,True,False,False,2
OID50402,False,False,False,False,False,0
OID50404,False,False,False,False,False,0
OID50405,False,False,False,False,False,0
OID50406,False,False,False,False,False,0
OID50407,False,False,False,False,False,0
OID50408,True,False,True,True,True,4
OID50409,False,False,True,False,False,1
OID50410,False,False,True,False,True,2
OID50411,True,True,False,True,True,4
OID50412,False,False,True,False,False,1
OID50413,True,True,False,False,False,2
OID50414,True,True,False,True,False,3
OID50415,False,False,False,False,True,1
OID50416,True,False,False,True,True,3
OID50417,False,False,False,False,False,0
OID50418,False,False,False,False,False,0
OID50419,False,False,False,False,False,0
OID50420,False,False,False,True,True,2
OID50421,False,False,False,False,False,0
OID50422,False,False,False,False,False,0
OID50423,False,False,False,False,False,0
OID50424,False,True,True,True,False,3
OID50425,False,True,False,False,True,2
OID50426,False,False,False,False,False,0
OID50427,False,False,False,True,False,1
OID50428,False,False,False,False,False,0
OID50429,False,False,False,True,False,1
OID50430,False,True,True,True,True,4
OID50431,True,False,False,True,False,2
OID50432,False,False,True,True,True,3
OID50433,True,False,False,False,False,1
OID50434,True,True,True,True,True,5
OID50435,True,True,True,True,True,5
OID50436,False,True,False,False,False,1
OID50437,False,False,True,False,False,1
OID50438,False,True,True,True,True,4
OID50439,False,False,False,False,False,0
OID50440,True,False,False,False,False,1
OID50441,False,False,True,False,False,1
OID50442,True,True,False,False,True,3
OID50443,False,False,False,False,False,0
OID50444,False,True,True,True,True,4
OID50445,False,False,False,True,False,1
OID50446,False,False,False,True,False,1
OID50447,False,False,True,False,True,2
OID50448,False,False,True,False,False,1
OID50449,False,False,True,False,True,2
OID50450,False,False,True,False,False,1
OID50451,True,False,True,False,False,2
OID50452,False,False,False,False,False,0
OID50453,False,True,True,False,False,2
OID50454,False,False,False,True,False,1
OID50455,False,True,True,True,True,4
OID50456,False,True,True,True,True,4
OID50457,False,True,True,True,True,4
OID50458,False,True,False,True,True,3
OID50459,True,False,True,False,False,2
OID50460,False,False,False,False,False,0
OID50461,False,False,False,True,True,2
OID50462,True,False,False,True,False,2
OID50463,True,True,False,True,False,3
OID50464,True,True,False,False,False,2
OID50465,True,True,False,True,True,4
OID50466,True,False,True,False,False,2
OID50467,False,True,False,False,False,1
OID50468,False,False,True,False,False,1
OID50469,False,False,False,True,False,1
OID50470,False,False,True,True,True,3
OID50471,False,False,True,True,True,3
OID50472,False,False,False,False,False,0
OID50473,False,True,False,False,True,2
OID50474,False,False,False,False,False,0
OID50475,True,False,True,False,False,2
OID50476,False,False,False,True,True,2
OID50477,True,False,True,True,True,4
OID50478,False,False,True,True,False,2
OID50479,False,False,False,False,False,0
OID50480,True,True,False,True,True,4
OID50481,False,True,True,True,True,4
OID50482,True,True,False,True,True,4
OID50483,False,False,False,False,False,0
OID50484,True,False,False,False,False,1
OID50485,True,False,True,True,False,3
OID50486,True,False,False,True,False,2
OID50487,False,False,False,False,False,0
OID50488,False,False,True,True,True,3
OID50489,True,False,False,False,False,1
OID50490,False,False,False,False,False,0
OID50491,True,False,False,False,True,2
OID50492,False,False,False,False,False,0
OID50493,False,True,True,True,True,4
OID50494,False,True,False,True,False,2
OID50495,False,False,False,False,False,0
OID50496,False,False,True,False,True,2
OID50497,True,False,False,False,False,1
OID50498,True,False,False,False,False,1
OID50499,False,True,False,False,False,1
OID50500,False,True,True,False,False,2
OID50501,False,False,False,False,False,0
OID50502,False,False,False,False,False,0
OID50503,True,True,True,True,True,5
OID50504,True,False,True,True,True,4
OID50505,False,False,False,True,True,2
OID50506,False,False,False,False,False,0
OID50507,False,False,True,False,True,2
OID50508,False,False,False,True,True,2
OID50509,True,False,True,False,True,3
OID50510,False,False,False,False,False,0
OID50511,False,True,True,False,False,2
OID50512,False,False,False,False,True,1
OID50513,False,False,False,False,False,0
OID50514,False,False,False,False,False,0
OID50515,False,True,True,True,True,4
OID50516,False,False,False,False,False,0
OID50517,True,False,True,False,False,2
OID50518,False,True,True,False,False,2
OID50519,False,True,False,False,False,1
OID50520,False,False,False,False,False,0
OID50522,False,False,False,False,False,0
OID50523,False,False,False,False,False,0
OID50524,True,False,True,True,True,4
OID50525,True,False,False,True,False,2
OID50526,False,False,False,False,False,0
OID50527,True,True,False,True,False,3
OID50528,True,False,True,False,False,2
OID50529,False,False,True,False,False,1
OID50530,True,True,False,True,True,4
OID50531,True,False,False,False,True,2
OID50532,False,False,False,False,False,0
OID50533,False,True,False,True,False,2
OID50534,True,True,True,False,False,3
OID50535,False,False,False,True,True,2
OID50536,False,False,False,False,False,0
OID50537,False,False,True,False,False,1
OID50538,False,False,False,False,False,0
OID50539,True,True,False,True,True,4
OID50540,False,False,False,False,False,0
OID50541,False,False,False,False,False,0
OID50542,False,False,True,False,False,1
OID50544,True,False,True,True,True,4
OID50545,True,False,True,False,True,3
OID50546,False,False,False,False,False,0
OID50547,True,False,False,False,True,2
OID50548,True,False,False,True,True,3
OID50549,False,False,False,False,False,0
OID50550,False,False,True,True,True,3
OID50551,False,False,False,False,False,0
OID50552,False,True,False,True,True,3
OID50553,False,False,False,False,False,0
OID50554,True,True,False,True,True,4
OID50555,False,False,False,False,False,0
OID50556,False,True,False,True,False,2
OID50557,True,True,True,True,True,5
OID50558,False,False,False,False,False,0
OID50559,False,False,False,False,False,0
OID50560,False,False,False,False,False,0
OID50561,True,True,True,True,True,5
OID50562,False,False,True,False,False,1
OID50563,False,False,False,True,False,1
OID50564,False,False,False,True,True,2
OID50565,False,False,False,True,False,1
OID50566,False,True,False,False,False,1
OID50567,False,False,False,False,True,1
OID50568,False,False,False,True,False,1
OID50569,True,True,False,True,True,4
OID50570,False,False,False,False,False,0
OID50571,False,False,True,True,False,2
OID50572,True,False,False,False,True,2
OID50573,False,False,False,True,True,2
OID50574,False,True,True,True,True,4
OID50575,False,False,False,False,False,0
OID50576,False,False,False,True,False,1
OID50577,False,False,True,False,False,1
OID50578,False,False,False,False,False,0
OID50579,True,False,False,True,True,3
OID50580,False,False,False,False,False,0
OID50581,False,True,True,True,False,3
OID50582,False,False,True,False,False,1
OID50583,False,False,True,True,True,3
OID50584,False,False,True,False,False,1
OID50585,True,True,True,True,True,5
OID50586,False,False,True,False,False,1
OID50587,False,True,False,False,False,1
OID50588,True,False,True,True,True,4
OID50589,False,False,False,False,False,0
OID50590,False,False,False,False,False,0
OID50591,True,True,True,True,True,5
OID50592,False,False,True,False,True,2
OID50593,False,False,False,False,False,0
OID50594,True,True,True,False,False,3
OID50595,False,False,False,False,False,0
OID50596,False,True,True,True,True,4
OID50597,True,False,True,False,False,2
OID50598,False,False,True,True,True,3
OID50599,False,True,True,True,True,4
OID50600,False,False,False,False,False,0
OID50601,False,False,False,False,False,0
OID50602,False,False,False,False,False,0
OID50603,False,False,True,False,True,2
OID50604,False,True,False,False,False,1
OID50605,False,False,False,False,False,0
OID50606,True,False,True,True,True,4
OID50607,False,False,False,False,False,0
OID50608,True,False,False,False,False,1
OID50609,True,True,True,True,True,5
OID50610,False,False,False,False,False,0
OID50611,True,True,True,True,True,5
OID50612,True,True,True,True,True,5
OID50613,True,True,True,True,True,5
OID50614,False,False,False,False,False,0
OID50615,True,True,False,True,True,4
OID50616,True,False,False,False,False,1
OID50617,False,True,False,True,True,3
OID50618,False,False,False,False,False,0
OID50619,False,False,False,False,False,0
OID50621,False,True,True,True,True,4
OID50622,False,True,True,False,False,2
OID50623,False,False,False,False,False,0
OID50624,False,False,False,False,True,1
OID50625,False,False,False,False,True,1
OID50626,False,False,False,False,False,0
OID50627,True,False,True,False,False,2
OID50628,False,True,True,True,False,3
OID50629,False,False,False,True,True,2
OID50630,False,True,True,True,True,4
OID50631,False,False,False,False,False,0
OID50632,True,False,False,False,True,2
OID50633,False,False,True,True,True,3
OID50634,False,True,True,True,False,3
OID50635,False,False,False,False,False,0
OID50636,False,True,True,False,False,2
OID50637,False,False,False,True,True,2
OID50638,False,True,True,False,False,2
OID50639,True,False,True,True,False,3
OID50640,False,True,True,False,False,2
OID50641,False,True,True,True,True,4
OID50642,True,True,True,True,True,5
OID50643,False,True,True,True,True,4
OID50644,False,False,True,False,True,2
OID50645,False,False,True,False,False,1
OID50647,False,False,False,False,False,0
OID50648,False,False,False,False,False,0
OID50649,False,True,True,False,True,3
OID50650,False,False,False,False,False,0
OID50651,False,False,False,True,False,1
OID50652,True,False,False,False,True,2
OID50653,True,False,False,False,False,1
OID50654,False,False,False,False,False,0
OID50656,True,False,False,True,False,2
OID50657,True,True,False,True,False,3
OID50658,False,False,False,False,True,1
OID50659,False,True,True,False,False,2
OID50660,False,False,False,False,False,0
OID50661,False,False,False,True,True,2
OID50662,True,True,True,True,True,5
OID50663,False,False,False,True,False,1
OID50664,False,False,False,False,False,0
OID50665,True,False,False,False,True,2
OID50666,False,False,False,False,False,0
OID50667,False,False,True,False,False,1
OID50668,False,False,True,False,False,1
OID50669,False,False,False,False,False,0
OID50670,True,False,False,True,False,2
OID50671,True,True,True,False,True,4
OID50672,False,False,True,False,True,2
OID50673,False,False,False,False,False,0
OID50674,False,True,False,False,False,1
OID50675,False,False,False,False,False,0
OID50676,False,False,False,True,False,1
OID50677,True,False,True,True,False,3
OID50678,True,False,False,False,True,2
OID50679,True,False,True,False,False,2
OID50680,True,False,True,False,False,2
OID50681,False,False,True,False,True,2
OID50682,False,True,False,True,True,3
OID50683,False,False,False,False,False,0
OID50684,True,True,True,True,False,4
OID50685,False,False,False,False,True,1
OID50686,False,False,False,False,False,0
OID50687,False,False,False,False,False,0
OID50688,False,False,False,False,True,1
OID50689,False,False,False,True,True,2
OID50690,True,False,False,True,False,2
OID50691,True,False,False,True,True,3
OID50692,False,True,True,True,True,4
OID50693,False,False,False,False,False,0
OID50694,False,False,False,False,False,0
OID50695,False,False,True,False,False,1
OID50696,False,False,True,False,True,2
OID50697,True,True,False,True,True,4
OID50698,False,False,False,False,False,0
OID50699,False,False,True,True,False,2
OID50700,True,True,True,True,False,4
OID50701,True,False,False,True,False,2
OID50702,True,True,True,True,True,5
OID50703,True,True,False,True,False,3
OID50704,False,False,False,False,False,0
OID50705,False,False,True,True,False,2
OID50706,False,True,True,True,True,4
OID50707,False,False,True,True,False,2
OID50708,False,False,False,False,False,0
OID50709,True,False,True,False,True,3
OID50711,False,False,False,True,False,1
OID50712,False,True,True,False,False,2
OID50713,False,False,False,False,False,0
OID50714,False,True,True,False,False,2
OID50716,False,True,True,False,False,2
OID50717,True,False,False,False,False,1
OID50718,False,False,False,False,False,0
OID50719,True,True,True,False,True,4
OID50720,True,True,False,False,True,3
OID50721,False,False,False,True,False,1
OID50722,True,False,False,True,True,3
OID50723,False,False,False,False,False,0
OID50724,False,False,False,True,True,2
OID50725,True,False,False,False,True,2
OID50726,True,True,True,True,True,5
OID50727,False,True,True,True,True,4
OID50728,True,False,True,False,True,3
OID50729,False,False,True,True,False,2
OID50730,False,True,False,True,False,2
OID50731,False,False,True,False,True,2
OID50732,False,False,True,False,False,1
OID50733,True,True,True,True,True,5
OID50734,False,False,True,True,True,3
OID50735,False,True,True,True,True,4
OID50736,False,False,False,True,False,1
OID50737,False,False,True,True,False,2
OID50738,False,False,False,True,False,1
OID50739,False,False,False,False,False,0
OID50740,False,False,False,False,True,1
OID50741,False,True,False,False,False,1
OID50742,False,True,True,True,True,4
OID50743,False,True,False,False,False,1
OID50744,False,True,False,False,False,1
OID50745,False,False,False,True,True,2
OID50746,False,False,False,False,False,0
OID50747,False,True,True,True,True,4
OID50748,False,False,False,False,False,0
OID50749,True,True,True,True,True,5
OID50750,False,False,False,False,False,0
OID50751,False,False,False,True,True,2
OID50752,False,False,False,True,True,2
OID50753,False,False,False,False,False,0
OID50754,False,False,False,False,False,0
OID50755,False,True,True,True,False,3
OID50756,False,False,True,False,True,2
OID50757,False,False,False,False,False,0
OID50758,False,False,False,True,True,2
OID50759,False,False,False,True,False,1
OID50760,False,False,False,False,False,0
OID50761,False,False,True,False,False,1
OID50762,True,False,True,True,True,4
OID50763,False,False,True,False,True,2
OID50764,False,False,False,False,False,0
OID50765,True,True,True,True,True,5
OID50766,True,False,True,True,True,4
OID50767,False,False,True,False,False,1
OID50768,True,False,True,False,True,3
OID50769,True,True,False,True,True,4
OID50770,False,True,True,True,True,4
OID50771,True,True,True,False,True,4
OID50772,False,False,True,True,False,2
OID50773,False,False,False,False,False,0
OID50774,False,False,False,False,False,0
OID50775,False,False,False,False,False,0
OID50776,False,False,False,False,False,0
OID50778,False,False,False,False,False,0
OID50779,False,False,True,True,True,3
OID50780,False,False,False,False,False,0
OID50782,False,False,False,False,False,0
OID50783,True,True,True,True,True,5
OID50785,False,False,True,False,False,1
OID50786,False,True,False,True,True,3
OID50787,True,False,False,False,True,2
OID50788,False,False,False,False,False,0
OID50790,False,True,True,True,True,4
OID50791,False,False,False,False,False,0
OID50792,False,False,True,False,False,1
OID50793,False,False,False,False,False,0
OID50794,False,True,True,True,True,4
OID50795,False,False,False,True,True,2
OID50796,False,False,True,False,False,1
OID50797,False,False,False,True,True,2
OID50798,True,True,False,True,True,4
OID50799,True,False,False,False,True,2
OID50800,False,False,False,False,False,0
OID50801,False,False,False,False,False,0
OID50802,False,False,False,False,False,0
OID50803,False,False,False,False,False,0
OID50804,True,True,True,True,False,4
OID50805,False,True,False,False,True,2
OID50806,True,True,False,True,True,4
OID50807,False,False,False,False,False,0
OID50808,False,False,False,False,False,0
OID50809,False,False,False,False,True,1
OID50810,False,False,True,True,True,3
OID50811,True,False,True,False,False,2
OID50812,False,False,False,False,False,0
OID50813,False,False,False,False,False,0
OID50814,False,False,True,False,False,1
OID50815,True,True,True,True,True,5
OID50816,False,False,False,False,False,0
OID50817,True,True,True,True,True,5
OID50818,True,False,False,False,False,1
OID50819,False,False,False,False,False,0
OID50820,True,True,True,True,True,5
OID50821,True,False,False,True,False,2
OID50822,True,True,True,True,False,4
OID50823,False,False,False,False,False,0
OID50824,True,False,True,True,False,3
OID50825,False,False,True,False,False,1
OID50826,False,False,False,False,False,0
OID50827,False,True,True,True,True,4
OID50828,False,False,True,False,True,2
OID50829,False,True,False,True,True,3
OID50830,False,False,False,True,False,1
OID50831,False,True,True,True,False,3
OID50832,False,False,True,False,False,1
OID50833,False,False,True,False,False,1
OID50834,False,True,True,False,False,2
OID50835,False,False,True,False,False,1
OID50836,False,False,True,True,False,2
OID50837,True,True,True,True,True,5
