Assay	OlinkID	LOD	Missing_data	Below_LOD	Valid_data
RANBP2	OID50291	NA	0	0	1
RAP1GAP	OID50292	NA	0	0	1
RBFOX3	OID50293	NA	0	0	1
RC3H1	OID50294	NA	0	0	1
RGS8	OID50295	NA	0	0	1
RNF25	OID50296	NA	0	0	1
RNF41	OID50297	NA	0	0	1
RPH3A	OID50299	NA	0	0	1
SAV1	OID50300	NA	0	0	1
SCARB1	OID50301	NA	0	0	1
SCGN	OID50302	NA	0	0	1
SERPINB5	OID50303	NA	0	0	1
SFTPA2	OID50304	NA	0	0	1
SH2B3	OID50305	NA	0	0	1
SIPA1	OID50306	NA	0	0	1
SIRT1	OID50307	NA	0	0	1
SIT1	OID50308	NA	0	0	1
SLAMF8	OID50310	NA	0	0	1
SLC16A1	OID50311	NA	0	0	1
SLIT2	OID50313	NA	0	0	1
SMAD1	OID50314	NA	0	0	1
SMAD2	OID50315	NA	0	0	1
SNAP25	OID50316	NA	0	0	1
SPATA2L	OID50317	NA	0	0	1
SPRED2	OID50318	NA	0	0	1
SPRY2	OID50319	NA	0	0	1
SPTBN2	OID50320	NA	0	0	1
SSB	OID50321	NA	0	0	1
STX5	OID50322	NA	0	0	1
STXBP3	OID50323	NA	0	0	1
TAB2	OID50324	NA	0	0	1
TARBP2	OID50325	NA	0	0	1
TDGF1	OID50326	NA	0	0	1
TK1	OID50327	NA	0	0	1
TLR2	OID50328	NA	0	0	1
TLR4	OID50329	NA	0	0	1
TNF	OID50330	NA	0	0	1
TNFAIP8	OID50331	NA	0	0	1
TNFRSF13C	OID50332	NA	0	0	1
TNFSF15	OID50333	NA	0	0	1
TP53	OID50334	NA	0	0	1
TP53BP1	OID50335	NA	0	0	1
TPMT	OID50336	NA	0	0	1
TPR	OID50337	NA	0	0	1
TRIM40	OID50338	NA	0	0	1
TSLP	OID50339	NA	0	0	1
TYMS	OID50340	NA	0	0	1
UBE2Z	OID50341	NA	0	0	1
WAS	OID50342	NA	0	0	1
WASL	OID50343	NA	0	0	1
WNT9A	OID50344	NA	0	0	1
XIAP	OID50345	NA	0	0	1
ZBTB16	OID50346	NA	0	0	1
ZC3H12A	OID50347	NA	0	0	1
ABI3BP	OID50348	NA	0	0	1
ABL1	OID50349	NA	0	0	1
ACE2	OID50350	NA	0	0	1
ACP1	OID50351	NA	0	0	1
ACP6	OID50352	NA	0	0	1
ACRV1	OID50353	NA	0	0	1
ACVRL1	OID50355	NA	0	0	1
ADA	OID50356	NA	0	0	1
ADAM15	OID50357	NA	0	0	1
ADAM22	OID50358	NA	0	0	1
ADAM23	OID50359	NA	0	0	1
ADAMTS1	OID50360	NA	0	0	1
ADAMTS15	OID50361	NA	0	0	1
ADAMTSL4	OID50362	NA	0	0	1
ADGRB1	OID50363	NA	0	0	1
ADGRB3	OID50364	NA	0	0	1
ADGRE1	OID50365	NA	0	0	1
ADGRE3	OID50366	NA	0	0	1
ADM	OID50367	NA	0	0	1
ADSL	OID50368	NA	0	0	1
AFAP1L1	OID50369	NA	0	0	1
AGR2	OID50370	NA	0	0	1
AGRP	OID50371	NA	0	0	1
AHNAK	OID50372	NA	0	0	1
AHNAK2	OID50373	NA	0	0	1
AHSA1	OID50374	NA	0	0	1
AKAP2	OID50375	NA	0	0	1
AKT1S1	OID50376	NA	0	0	1
AKT2	OID50377	NA	0	0	1
ALDH3A1	OID50378	NA	0	0	1
AMDHD1	OID50379	NA	0	0	1
AMIGO2	OID50380	NA	0	0	1
ANKMY2	OID50382	NA	0	0	1
ANXA10	OID50383	NA	0	0	1
ANXA2	OID50384	NA	0	0	1
AP3B1	OID50385	NA	0	0	1
APBB1IP	OID50386	NA	0	0	1
APEX1	OID50387	NA	0	0	1
APIP	OID50388	NA	0	0	1
ARG1	OID50390	NA	0	0	1
ARHGEF12	OID50391	NA	0	0	1
ASGR1	OID50392	NA	0	0	1
ASS1	OID50393	NA	0	0	1
ATG16L1	OID50394	NA	0	0	1
ATP6V1G1	OID50395	NA	0	0	1
ATP6V1G2	OID50396	NA	0	0	1
ATRAID	OID50397	NA	0	0	1
ATXN3	OID50398	NA	0	0	1
AXIN1	OID50399	NA	0	0	1
AZI2	OID50400	NA	0	0	1
B3GNT7	OID50401	NA	0	0	1
BACH1	OID50402	NA	0	0	1
BAG5	OID50404	NA	0	0	1
BAG6	OID50405	NA	0	0	1
BANK1	OID50406	NA	0	0	1
BCAN	OID50407	NA	0	0	1
BCL2	OID50408	NA	0	0	1
BCL2L1	OID50409	NA	0	0	1
BCR	OID50410	NA	0	0	1
BLNK	OID50411	NA	0	0	1
BMP4	OID50412	NA	0	0	1
BMP6	OID50413	NA	0	0	1
BMP7	OID50414	NA	0	0	1
BNIP3L	OID50415	NA	0	0	1
BOC	OID50416	NA	0	0	1
BOLA2	OID50417	NA	0	0	1
BPIFA2	OID50418	NA	0	0	1
BSG	OID50419	NA	0	0	1
BTN1A1	OID50420	NA	0	0	1
BTN3A2	OID50421	NA	0	0	1
C16orf89	OID50422	NA	0	0	1
C1QA	OID50423	NA	0	0	1
C1QL2	OID50424	NA	0	0	1
C1QTNF6	OID50425	NA	0	0	1
C9orf40	OID50426	NA	0	0	1
CA12	OID50427	NA	0	0	1
CA14	OID50428	NA	0	0	1
CA9	OID50429	NA	0	0	1
CALCA	OID50430	NA	0	0	1
CALCB	OID50431	NA	0	0	1
CALCOCO1	OID50432	NA	0	0	1
CALCOCO2	OID50433	NA	0	0	1
CALML4	OID50434	NA	0	0	1
CAMSAP1	OID50435	NA	0	0	1
CAPG	OID50436	NA	0	0	1
CAPN3	OID50437	NA	0	0	1
CAPS	OID50438	NA	0	0	1
CASP10	OID50439	NA	0	0	1
CASP2	OID50440	NA	0	0	1
CASP7	OID50441	NA	0	0	1
CASP8	OID50442	NA	0	0	1
CASP9	OID50443	NA	0	0	1
CBLN4	OID50444	NA	0	0	1
CC2D1A	OID50445	NA	0	0	1
CCAR1	OID50446	NA	0	0	1
CCER2	OID50447	NA	0	0	1
CCL11	OID50448	NA	0	0	1
CCL20	OID50449	NA	0	0	1
CCL25	OID50450	NA	0	0	1
CCL26	OID50451	NA	0	0	1
CCL28	OID50452	NA	0	0	1
CCL3	OID50453	NA	0	0	1
CCL7	OID50454	NA	0	0	1
CCL8	OID50455	NA	0	0	1
CCN1	OID50456	NA	0	0	1
CCN4	OID50457	NA	0	0	1
CD101	OID50458	NA	0	0	1
CD160	OID50459	NA	0	0	1
CD200	OID50460	NA	0	0	1
CD200R1	OID50461	NA	0	0	1
CD207	OID50462	NA	0	0	1
CD22	OID50463	NA	0	0	1
CD226	OID50464	NA	0	0	1
CD244	OID50465	NA	0	0	1
CD274	OID50466	NA	0	0	1
CD300E	OID50467	NA	0	0	1
CD302	OID50468	NA	0	0	1
CD38	OID50469	NA	0	0	1
CD4	OID50470	NA	0	0	1
CD40LG	OID50471	NA	0	0	1
CD5	OID50472	NA	0	0	1
CD6	OID50473	NA	0	0	1
CD63	OID50474	NA	0	0	1
CD7	OID50475	NA	0	0	1
CD70	OID50476	NA	0	0	1
CD79B	OID50477	NA	0	0	1
CD83	OID50478	NA	0	0	1
CD84	OID50479	NA	0	0	1
CD86	OID50480	NA	0	0	1
CDC26	OID50481	NA	0	0	1
CDCP1	OID50482	NA	0	0	1
CDKN1A	OID50483	NA	0	0	1
CDNF	OID50484	NA	0	0	1
CDSN	OID50485	NA	0	0	1
CEACAM16	OID50486	NA	0	0	1
CEACAM19	OID50487	NA	0	0	1
CEACAM21	OID50488	NA	0	0	1
CEACAM8	OID50489	NA	0	0	1
CES2	OID50490	NA	0	0	1
CES3	OID50491	NA	0	0	1
CFAP36	OID50492	NA	0	0	1
CHCHD6	OID50493	NA	0	0	1
CKAP4	OID50494	NA	0	0	1
CLEC10A	OID50495	NA	0	0	1
CLEC12A	OID50496	NA	0	0	1
CLEC1A	OID50497	NA	0	0	1
CLEC4A	OID50498	NA	0	0	1
CLEC4C	OID50499	NA	0	0	1
CLEC4D	OID50500	NA	0	0	1
CLEC4G	OID50501	NA	0	0	1
CLEC7A	OID50502	NA	0	0	1
CLSTN2	OID50503	NA	0	0	1
CLSTN3	OID50504	NA	0	0	1
CNP	OID50505	NA	0	0	1
CNPY4	OID50506	NA	0	0	1
CNTN2	OID50507	NA	0	0	1
CNTNAP2	OID50508	NA	0	0	1
COL24A1	OID50509	NA	0	0	1
COL28A1	OID50510	NA	0	0	1
COL9A1	OID50511	NA	0	0	1
COMMD9	OID50512	NA	0	0	1
COMT	OID50513	NA	0	0	1
CPE	OID50514	NA	0	0	1
CPVL	OID50515	NA	0	0	1
CRADD	OID50516	NA	0	0	1
CRISP2	OID50517	NA	0	0	1
CRNN	OID50518	NA	0	0	1
CRTAM	OID50519	NA	0	0	1
CRYZL1	OID50520	NA	0	0	1
CSF2RB	OID50522	NA	0	0	1
CSF3R	OID50523	NA	0	0	1
CSRP3	OID50524	NA	0	0	1
CST5	OID50525	NA	0	0	1
CTH	OID50526	NA	0	0	1
CTRL	OID50527	NA	0	0	1
CTSH	OID50528	NA	0	0	1
CTSO	OID50529	NA	0	0	1
CTSV	OID50530	NA	0	0	1
CX3CL1	OID50531	NA	0	0	1
CXADR	OID50532	NA	0	0	1
CXCL17	OID50533	NA	0	0	1
CXCL8	OID50534	NA	0	0	1
CYB5R2	OID50535	NA	0	0	1
DAPK2	OID50536	NA	0	0	1
DAPP1	OID50537	NA	0	0	1
DBN1	OID50538	NA	0	0	1
DCN	OID50539	NA	0	0	1
DCPS	OID50540	NA	0	0	1
DCTN1	OID50541	NA	0	0	1
DCTN2	OID50542	NA	0	0	1
DECR1	OID50544	NA	0	0	1
DEFB103A_DEFB103B	OID50545	NA	0	0	1
DFFA	OID50546	NA	0	0	1
DGKA	OID50547	NA	0	0	1
DKK4	OID50548	NA	0	0	1
DLG4	OID50549	NA	0	0	1
DNAJA4	OID50550	NA	0	0	1
DNAJC6	OID50551	NA	0	0	1
DNM1	OID50552	NA	0	0	1
DNM3	OID50553	NA	0	0	1
DNMBP	OID50554	NA	0	0	1
DNPEP	OID50555	NA	0	0	1
DPEP1	OID50556	NA	0	0	1
DPEP2	OID50557	NA	0	0	1
DPP10	OID50558	NA	0	0	1
DPP6	OID50559	NA	0	0	1
DPY30	OID50560	NA	0	0	1
DRAXIN	OID50561	NA	0	0	1
DSG3	OID50562	NA	0	0	1
DTNB	OID50563	NA	0	0	1
DTX3	OID50564	NA	0	0	1
EBAG9	OID50565	NA	0	0	1
EBI3_IL27	OID50566	NA	0	0	1
ECE1	OID50567	NA	0	0	1
EDA2R	OID50568	NA	0	0	1
EDAR	OID50569	NA	0	0	1
EFHD2	OID50570	NA	0	0	1
EFNA4	OID50571	NA	0	0	1
EGFLAM	OID50572	NA	0	0	1
EGLN1	OID50573	NA	0	0	1
EIF2S2	OID50574	NA	0	0	1
EIF4E	OID50575	NA	0	0	1
EML4	OID50576	NA	0	0	1
ENDOU	OID50577	NA	0	0	1
ENPP6	OID50578	NA	0	0	1
ENTPD5	OID50579	NA	0	0	1
ENTPD6	OID50580	NA	0	0	1
EPHA2	OID50581	NA	0	0	1
EPHB6	OID50582	NA	0	0	1
EPS8L2	OID50583	NA	0	0	1
EREG	OID50584	NA	0	0	1
ERN1	OID50585	NA	0	0	1
ERP44	OID50586	NA	0	0	1
EVA1C	OID50587	NA	0	0	1
EVI5	OID50588	NA	0	0	1
F3	OID50589	NA	0	0	1
FAM3B	OID50590	NA	0	0	1
FAM3D	OID50591	NA	0	0	1
FASLG	OID50592	NA	0	0	1
FCAR	OID50593	NA	0	0	1
FCRL2	OID50594	NA	0	0	1
FCRL6	OID50595	NA	0	0	1
FGF2	OID50596	NA	0	0	1
FGF21	OID50597	NA	0	0	1
FGF23	OID50598	NA	0	0	1
FGFBP3	OID50599	NA	0	0	1
FKBP4	OID50600	NA	0	0	1
FKBP5	OID50601	NA	0	0	1
FKBPL	OID50602	NA	0	0	1
FLRT2	OID50603	NA	0	0	1
FLT3LG	OID50604	NA	0	0	1
FMNL1	OID50605	NA	0	0	1
FNDC1	OID50606	NA	0	0	1
FNTA	OID50607	NA	0	0	1
FOXO1	OID50608	NA	0	0	1
FRZB	OID50609	NA	0	0	1
FSTL1	OID50610	NA	0	0	1
FUT8	OID50611	NA	0	0	1
GALNT10	OID50612	NA	0	0	1
GALNT2	OID50613	NA	0	0	1
GBA1	OID50614	NA	0	0	1
GCNT1	OID50615	NA	0	0	1
GFRA1	OID50616	NA	0	0	1
GFRA2	OID50617	NA	0	0	1
GFRA3	OID50618	NA	0	0	1
GFRAL	OID50619	NA	0	0	1
GIT1	OID50621	NA	0	0	1
GLIPR1	OID50622	NA	0	0	1
GLRX2	OID50623	NA	0	0	1
GMPR	OID50624	NA	0	0	1
GOPC	OID50625	NA	0	0	1
GP2	OID50626	NA	0	0	1
GPA33	OID50627	NA	0	0	1
GPC1	OID50628	NA	0	0	1
GPC5	OID50629	NA	0	0	1
GPD1	OID50630	NA	0	0	1
GPIHBP1	OID50631	NA	0	0	1
GPR15LG	OID50632	NA	0	0	1
GPR37	OID50633	NA	0	0	1
GRP	OID50634	NA	0	0	1
GRPEL1	OID50635	NA	0	0	1
GZMA	OID50636	NA	0	0	1
GZMB	OID50637	NA	0	0	1
GZMH	OID50638	NA	0	0	1
HAO1	OID50639	NA	0	0	1
HAVCR1	OID50640	NA	0	0	1
HBEGF	OID50641	NA	0	0	1
HCLS1	OID50642	NA	0	0	1
HGF	OID50643	NA	0	0	1
HHEX	OID50644	NA	0	0	1
HLA-A	OID50645	NA	0	0	1
HMBS	OID50647	NA	0	0	1
HMOX2	OID50648	NA	0	0	1
HNMT	OID50649	NA	0	0	1
HNRNPUL1	OID50650	NA	0	0	1
HOMER3	OID50651	NA	0	0	1
HRC	OID50652	NA	0	0	1
HSD11B1	OID50653	NA	0	0	1
HSPA13	OID50654	NA	0	0	1
HSPB6	OID50656	NA	0	0	1
ICAM4	OID50657	NA	0	0	1
ICOSLG	OID50658	NA	0	0	1
IDO1	OID50659	NA	0	0	1
IDS	OID50660	NA	0	0	1
IDUA	OID50661	NA	0	0	1
IFI30	OID50662	NA	0	0	1
IFNAR1	OID50663	NA	0	0	1
IFNGR2	OID50664	NA	0	0	1
IFNLR1	OID50665	NA	0	0	1
IGBP1	OID50666	NA	0	0	1
IGF1R	OID50667	NA	0	0	1
IGFL4	OID50668	NA	0	0	1
IGSF3	OID50669	NA	0	0	1
IKBKG	OID50670	NA	0	0	1
IL12A_IL12B	OID50671	NA	0	0	1
IL12B	OID50672	NA	0	0	1
IL15	OID50673	NA	0	0	1
IL16	OID50674	NA	0	0	1
IL17RB	OID50675	NA	0	0	1
IL18R1	OID50676	NA	0	0	1
IL18RAP	OID50677	NA	0	0	1
IL22	OID50678	NA	0	0	1
IL23R	OID50679	NA	0	0	1
IL32	OID50680	NA	0	0	1
IL36G	OID50681	NA	0	0	1
IL4R	OID50682	NA	0	0	1
IL5RA	OID50683	NA	0	0	1
IL6	OID50684	NA	0	0	1
IL7	OID50685	NA	0	0	1
IMPA1	OID50686	NA	0	0	1
INPP1	OID50687	NA	0	0	1
INPP5D	OID50688	NA	0	0	1
INPPL1	OID50689	NA	0	0	1
INSL5	OID50690	NA	0	0	1
IPCEF1	OID50691	NA	0	0	1
IQGAP2	OID50692	NA	0	0	1
IRAG2	OID50693	NA	0	0	1
IRAK4	OID50694	NA	0	0	1
ISM1	OID50695	NA	0	0	1
ITGA11	OID50696	NA	0	0	1
ITGAL	OID50697	NA	0	0	1
ITGAV	OID50698	NA	0	0	1
ITGB1BP2	OID50699	NA	0	0	1
ITGB7	OID50700	NA	0	0	1
ITM2A	OID50701	NA	0	0	1
ITPR1	OID50702	NA	0	0	1
KEL	OID50703	NA	0	0	1
KHK	OID50704	NA	0	0	1
KIAA0319	OID50705	NA	0	0	1
KIF22	OID50706	NA	0	0	1
KIR2DL2_KIR2DL3	OID50707	NA	0	0	1
KLB	OID50708	NA	0	0	1
KLK13	OID50709	NA	0	0	1
KLK15	OID50711	NA	0	0	1
KLRB1	OID50712	NA	0	0	1
KLRD1	OID50713	NA	0	0	1
KLRK1	OID50714	NA	0	0	1
KRT19	OID50716	NA	0	0	1
KYNU	OID50717	NA	0	0	1
LAG3	OID50718	NA	0	0	1
LAIR2	OID50719	NA	0	0	1
LAMB1	OID50720	NA	0	0	1
LAMP3	OID50721	NA	0	0	1
LAT	OID50722	NA	0	0	1
LAT2	OID50723	NA	0	0	1
LATS1	OID50724	NA	0	0	1
LAYN	OID50725	NA	0	0	1
LCN15	OID50726	NA	0	0	1
LEFTY2	OID50727	NA	0	0	1
LGALS7	OID50728	NA	0	0	1
LIFR	OID50729	NA	0	0	1
LIPF	OID50730	NA	0	0	1
LMNB1	OID50731	NA	0	0	1
LMNB2	OID50732	NA	0	0	1
LMOD1	OID50733	NA	0	0	1
LPO	OID50734	NA	0	0	1
LRCH4	OID50735	NA	0	0	1
LRIG1	OID50736	NA	0	0	1
LRRC25	OID50737	NA	0	0	1
LRRC37A2	OID50738	NA	0	0	1
